index,1st index,2nd index,Event Source Page,Clicked Page ,Clicked Page
0,0,,"https://culture.hccg.gov.tw/ch/home.jsp?id=9&parentpath=0,1",https://event.culture.tw/HCCG/portal/Registration/C0103MAction?useLanguage=tw&actId=10083&request_locale=tw,https://event.culture.tw/HCCG/portal/Registration/C0103MAction?useLanguage=tw&actId=20002&request_locale=tw
1,1,,https://www.huf.org.tw/event,https://www.huf.org.tw/event/content/5343,https://www.huf.org.tw/event/content/5405
2,2,,https://hiking.biji.co/index.php?q=minisite&act=list#,https://hiking.biji.co/index.php?q=event&act=detail&id=9843,https://hiking.biji.co/index.php?q=minisite&id=234
3,3,,https://deer.nchu.edu.tw/courses/,https://deer.nchu.edu.tw/courses/course-110-2/110-2_podcast/,https://deer.nchu.edu.tw/courses/course-110-2/
4,4,,https://www.cleanlife.org/?route=course/course,https://www.cleanlife.org/?route=course/course&course_id=127,https://www.cleanlife.org/?route=course/course&course_id=130
5,5,,https://artemperor.tw/tidbits,https://artemperor.tw/tidbits/12089,https://artemperor.tw/tidbits/12312
6,6,,https://www.sow.org.tw/event,https://www.sow.org.tw/civicrm/event/info?reset=1&id=10654,https://www.sow.org.tw/civicrm/event/info?reset=1&id=10775
7,7,,https://luodong-nec.blogspot.com/search/label/,https://luodong-nec.blogspot.com/2021/04/blog-post.html,https://luodong-nec.blogspot.com/2021/07/blog-post.html
9,9,,https://news.readmoo.com/category/reading-and-life/events/,https://news.readmoo.com/2021/12/17/miyabe-miyuki-2/,https://news.readmoo.com/2022/01/26/3-26-maurice/
10,10,,https://e-info.org.tw/event,https://e-info.org.tw/node/232978,https://e-info.org.tw/node/233289
11,11,44,https://www.beclass.com/default.php?name=ShowList&op=catRank&range=B,https://www.beclass.com/rid=254661761c406ee9a327,https://www.beclass.com/rid=254659e61814159e3477
12,12,,https://www.matthewschoice.com/News,https://www.matthewschoice.com/News/Event/17,https://www.matthewschoice.com/News/Detail/27
