,tag,content,counts,link_next,link_prev,label
0,html body text title  ,"大话四川-[原创]朋友,请正确客观认识凉山、西昌！错误信息[麻辣社区]",8,0,0,0
1,html body text div  ,	,53,1,0,0
2,html body text div div div a  ,恢复默认设置,61,1,1,0
3,html body text div div div a b  ,默认风格[2005-10],66,1,1,0
4,html body text div div div a  ,默认风格,70,1,1,0
5,html body text div div div a  ,秋意盎然,73,1,1,0
6,html body text div div div a  ,棕红预览,76,1,1,0
7,html body text div div div a  ,紫色淡雅,79,1,1,0
8,html body text div div div a  ,青青河草,82,1,1,0
9,html body text div div div a  ,橘子红了,85,1,1,0
10,html body text div div div a  ,红红夜思,88,1,1,0
11,html body text div div div a  ,粉色回忆,91,1,1,0
12,html body text div div div a  ,水晶紫色,94,1,1,0
13,html body text div div div a  ,黑白风格,97,1,1,0
14,html body text div div div a  ,麻辣风格,100,1,1,0
15,html body text div div div a  ,浓浓绿意,103,1,1,0
16,html body text div div div a  ,蓝色水晶,106,1,1,0
17,html body text div div a  ,登录,112,1,1,0
18,html body text div div a  ,注册,116,1,1,0
19,html body text div div a  ,搜索,124,1,1,0
20,html body text div div a  ,风格,128,1,1,0
21,html body text div div a  ,状态,132,1,1,0
22,html body text div div a  ,展区,137,1,1,0
23,html body text div div a  ,道具中心,141,1,1,0
24,html body text div div div a  ,麻辣股市,148,1,1,0
25,html body text div div div a  ,银行中心,153,1,1,0
26,html body text div div div a  ,社区农场,158,1,1,0
27,html body text div div div a  ,版主工资,163,1,1,0
28,html body text div div div a  ,开心词典,168,1,1,0
29,html body text div div div a  ,社区相册,173,1,1,0
30,html body text div div div a  ,宠物中心,178,1,1,0
31,html body text div div div a  ,社区监狱,183,1,1,0
32,html body text div div div a  ,社区法院,188,1,1,0
33,html body text div div div a  ,麻辣房产,193,1,1,0
34,html body text div div div a  ,恋爱结婚,198,1,1,0
35,html body text div div div a  ,虚拟形象,203,1,1,0
36,html body text div div div a  ,许愿塔,208,1,1,0
37,html body text div div div a font  ,择吉黄历,214,1,1,0
38,html body text div div div a font  ,免费算命,220,1,1,0
39,html body text div div div a  ,麻辣赛马,225,1,1,0
40,html body text div div div a  ,彩票中心,230,1,1,0
41,html body text div div a  ,设施,238,1,1,0
42,html body text div div a  ,热帖,242,1,1,0
43,html body text div div a  ,新贴,246,1,1,0
44,html body text div div a  ,会员,250,1,1,0
45,html body text div div a  ,帮助,254,1,1,0
46,html body text div div a  ,聊天室,258,1,1,0
47,html body text div div a font  ,麻辣博客,263,1,1,0
48,html body text div div a  ,游戏大厅,267,1,1,0
49,html body text div div a  ,天气预报,271,1,1,0
50,html body text div div a  ,我能做什么,275,1,1,0
51,html body text div div a  ,川网,280,1,1,0
52,html body text div div a  ,论坛首页,284,0,1,0
53,html body text table tr td a b  ,群众呼声,295,1,0,0
54,html body text table tr td a b  ,警民交流,302,1,1,0
55,html body text table tr td a b  ,西部生态,309,1,1,0
56,html body text table tr td a b  ,大话四川,316,1,1,0
57,html body text table tr td a b  ,摄影,323,1,1,0
