tag,content,label,depth,domain
html body h4  ,Menu,0,3,newdata
html body div ul li a  ,首頁,0,6,newdata
html body div ul li a  ,最新消息,0,6,newdata
html body div ul li a  ,參觀資訊,0,6,newdata
html body div ul li ul li a  ,展覽介紹,0,8,newdata
html body div ul li ul li a  ,參觀預先登錄,0,8,newdata
html body div ul li ul li a  ,展覽平面圖,0,8,newdata
html body div ul li ul li a  ,2021 參展商列表,0,8,newdata
html body div ul li ul li a  ,2021 參展商產品,0,8,newdata
html body div ul li ul li a  ,2021 參展商新聞稿,0,8,newdata
html body div ul li ul li a  ,2021 參展商影音,0,8,newdata
html body div ul li ul li a  ,交通資訊,0,8,newdata
html body div ul li ul li a  ,特約飯店,0,8,newdata
html body div ul li a  ,參展資訊,0,6,newdata
html body div ul li ul li a  ,參展資訊,0,8,newdata
html body div ul li ul li a  ,參展諮詢,0,8,newdata
html body div ul li ul li a  ,參展商免費服務,0,8,newdata
html body div ul li ul li a  ,參展商加值服務,0,8,newdata
html body div ul li ul li a  ,參展商行事曆,0,8,newdata
html body div ul li ul li a  ,參展資料下載,0,8,newdata
html body div ul li ul li a  ,代理商專區,0,8,newdata
html body div ul li ul li a  ,業務洽詢,0,8,newdata
html body div ul li a  ,參展商管理系統,0,6,newdata
html body div ul li a  ,活動,0,6,newdata
html body div ul li ul li a  ,2022 研討會行事曆,0,8,newdata
html body div ul li a  ,展覽回顧,0,6,newdata
html body div ul li ul li a  ,展後報告,0,8,newdata
html body div ul li ul li a  ,展覽相簿,0,8,newdata
html body div ul li ul li a  ,展覽影片,0,8,newdata
html body div ul li a  ,廣告專區,0,6,newdata
html body div ul li ul li a  ,展覽專刊介紹,0,8,newdata
html body div ul li ul li a  ,2021 展覽專刊廣告商,0,8,newdata
html body div ul li ul li a  ,大會贊助廣告刊登,0,8,newdata
html body div ul li a  ,智慧製造展 Smart+,0,6,newdata
html body div ul li a  ,聯絡我們,0,6,newdata
html body header ul li a  ,會員登入,0,6,newdata
html body header ul li a  ,English,0,6,newdata
html body div a  ,首頁,0,4,newdata
html body div span  ,/,0,4,newdata
html body div a  ,最新消息,0,4,newdata
html body div span  ,/,0,4,newdata
html body div  ,I-Zone全國創新智慧顯示專區．首獎10萬等你拿！,0,3,newdata
html body article h1  ,I-Zone全國創新智慧顯示專區．首獎10萬等你拿！,1,4,newdata
html body article p  ,發佈日期：2022-01-05,1,4,newdata
html body article p  ,新聞類型：展會新聞,1,4,newdata
html body article div p strong span  ,I-Zone全國創新智慧顯示專區,1,7,newdata
